cell	longitude	latitude	richness	npp_AVG	temp_AVG	prec_AVG	tempsea_AVG	presea_AVG	ele_RANGE
6006	-70.8	7.2	109	4.53E+11	268.0595685	2127.562757	850.0450694	62.4099048	77
6007	-69.8	7.2	117	4.21E+11	272.6773517	2311.802079	868.1688357	63.77168312	68
6008	-68.8	7.2	115	3.90E+11	278.9344921	2442.359595	875.6404926	65.18796401	65
6009	-67.8	7.2	118	4.03E+11	281.2050834	2288.830378	1015.215041	70.05144554	539
6010	-66.8	7.2	120	8.76E+11	252.4634466	2683.505634	814.5653769	71.54161936	1820
6011	-65.8	7.2	116	1.03E+12	244.3724343	2747.057734	519.2895449	72.29627042	2194
6012	-64.8	7.2	116	1.03E+12	242.5390864	3076.586514	401.0420124	65.14027426	2214
6013	-63.8	7.2	117	1.04E+12	248.867674	3169.091449	396.5599616	64.29924011	1448
6014	-62.8	7.2	119	1.01E+12	240.9875972	3054.242554	417.618482	67.04026553	1923
6015	-61.8	7.2	122	9.68E+11	222.3744432	2398.680758	411.5152415	52.64739279	2438
